"","name","pos","team","vor","adp","pred","replace_value","experts","overall","href"
"1","Aaron Rodgers","QB","Packers",49.2762413111392,22,278.357073542372,229.080832231233,320.745,99,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/8439.png"
"2","Alex Smith","QB","Redskins",-6.42431084692362,118,222.656521384309,229.080832231233,282.8875,84,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/8416.png"
"3","Andrew Luck","QB","Colts",8.96643282043573,89,238.047265051669,229.080832231233,291.6575,87,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/14874.png"
"4","Andy Dalton","QB","Bengals",-54.5369420232726,0,174.54389020796,229.080832231233,241.756666666667,77,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/14012.png"
"5","Baker Mayfield","QB","Browns",-195.459908290842,0,33.6209239403905,229.080832231233,58.48,81,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18565.png"
"6","Ben Roethlisberger","QB","Steelers",7.55823628441499,75,236.639068515648,229.080832231233,286.525,88,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/5536.png"
"7","Blake Bortles","QB","Jaguars",-31.4795246362738,160,197.601307594959,229.080832231233,264.0725,80,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16724.png"
"8","Brock Osweiler","QB","Dolphins",-80.844888812906,0,148.235943418327,229.080832231233,213,72,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/14879.png"
"9","Cam Newton","QB","Panthers",22.7512396402783,64,251.832071871511,229.080832231233,305.3225,88,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/13994.png"
"10","Carson Wentz","QB","Eagles",-8.09059516015259,57,220.99023707108,229.080832231233,273.995,86,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17795.png"
"11","Case Keenum","QB","Broncos",-64.5786200385043,169,164.502212192729,229.080832231233,220.4125,81,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/15168.png"
"12","Dak Prescott","QB","Cowboys",-30.3463864838623,132,198.734445747371,229.080832231233,259.7875,82,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17907.png"
"13","Derek Carr","QB","Raiders",-37.7502451014884,143,191.330587129745,229.080832231233,247.445,83,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16757.png"
"14","Deshaun Watson","QB","Texans",18.2473809992013,36,247.328213230434,229.080832231233,319.91,82,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18246.png"
"15","Drew Brees","QB","Saints",23.5879536979708,53,252.668785929204,229.080832231233,297.3325,91,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2580.png"
"16","Eli Manning","QB","Giants",-52.1471021041779,167,176.933730127055,229.080832231233,246.1375,76,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/5526.png"
"17","Jameis Winston","QB","Buccaneers",-54.6398125023337,150,174.441019728899,229.080832231233,235.4175,80,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17399.png"
"18","Jared Goff","QB","Rams",-54.4688126990961,111,174.612019532137,229.080832231233,226.76,83,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17794.png"
"19","Jimmy Garoppolo","QB","49ers",-55.7842329923089,76,173.296599238924,229.080832231233,225.1325,83,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16760.png"
"20","Joe Flacco","QB","Ravens",-72.8784946891231,0,156.20233754211,229.080832231233,215.246666666667,79,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/11252.png"
"21","Josh Allen","QB","Bills",-192.836355918777,0,36.2444763124557,229.080832231233,73.885,74,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18570.png"
"22","Josh McCown","QB","Jets",-171.214537687264,0,57.8662945439689,229.080832231233,95.65,78,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3609.png"
"23","Josh Rosen","QB","Cardinals",-171.707567720358,0,57.3732645108753,229.080832231233,95.04,78,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18572.png"
"24","Kirk Cousins","QB","Vikings",-15.2402695682573,74,213.840562662976,229.080832231233,278.4775,82,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/14880.png"
"25","Lamar Jackson","QB","Ravens",-213.227710776429,0,15.8531214548039,229.080832231233,41.6,79,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18590.png"
"26","Marcus Mariota","QB","Titans",-35.7429607074092,147,193.337871523824,229.080832231233,261.1925,79,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17610.png"
"27","Matt Ryan","QB","Falcons",0,102,229.080832231233,229.080832231233,273.915,89,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/11237.png"
"28","Matthew Stafford","QB","Lions",-7.71989622998814,104,221.360936001245,229.080832231233,277.89,85,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/12483.png"
"29","Mitchell Trubisky","QB","Bears",-62.6993274841556,140,166.381504747077,229.080832231233,234.896666666667,74,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18168.png"
"30","Patrick Mahomes","QB","Chiefs",-33.9509175267258,107,195.129914704507,229.080832231233,267.226666666667,77,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18210.png"
"31","Philip Rivers","QB","Chargers",0.78294251703818,119,229.863774748271,229.080832231233,281.5325,87,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/5529.png"
"32","Russell Wilson","QB","Seahawks",40.4885413632654,45,269.569373594498,229.080832231233,315.87,92,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/14881.png"
"33","Ryan Fitzpatrick","QB","Buccaneers",-167.70997680918,0,61.370855422053,229.080832231233,105.373333333333,73,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/8664.png"
"34","Ryan Tannehill","QB","Dolphins",-53.261817037701,0,175.819015193532,229.080832231233,241.586666666667,78,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/14876.png"
"35","Sam Bradford","QB","Cardinals",-111.041174573115,0,118.039657658118,229.080832231233,168.03,79,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/13197.png"
"36","Sam Darnold","QB","Jets",-127.715329806969,0,101.365502424264,229.080832231233,153.725,75,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18566.png"
"37","Tom Brady","QB","Patriots",33.8831970811929,29,262.964029312426,229.080832231233,301.7,99,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2330.png"
"38","Trevor Siemian","QB","Vikings",-73.7568000432894,0,155.324032187944,229.080832231233,221.8,71,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17455.png"
"39","Tyrod Taylor","QB","Browns",-64.2977545688322,0,164.783077662401,229.080832231233,220.76,81,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/14163.png"
"40","Aaron Jones","RB","Packers",-43.7261332860641,121,61.1334368134036,104.859570099468,71.92,75,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18314.png"
"41","Alex Collins","RB","Ravens",-0.0100509670401152,42,104.849519132428,104.859570099468,132.49,81,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17933.png"
"42","Alfred Blue","RB","Texans",-64.0465320742744,0,40.8130380251933,104.859570099468,54.2266666666667,68,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17134.png"
"43","Alvin Kamara","RB","Saints",66.2833602597003,5,171.142930359168,104.859570099468,235.663333333333,88,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18187.png"
"44","Austin Ekeler","RB","Chargers",-29.6598302516068,162,75.1997398478609,104.859570099468,79.73,81,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18458.png"
"45","Benny Cunningham","RB","Bears",-73.0852986776034,0,31.7742714218643,104.859570099468,33.77,70,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16055.png"
"46","Bilal Powell","RB","Jets",-20.4161450263139,174,84.4434250731538,104.859570099468,101.6275,79,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/14129.png"
"47","Bo Scarbrough","RB","Cowboys",-74.9833743579512,0,29.8761957415165,104.859570099468,27.96,71,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18794.png"
"48","Boston Scott","RB","Saints",-73.9745979477769,0,30.8849721516908,104.859570099468,27.1,72,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18759.png"
"49","C.J. Anderson","RB","Panthers",-22.3836642681548,108,82.4759058313129,104.859570099468,92.6775,81,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16040.png"
"50","C.J. Prosise","RB","Seahawks",-70.2047171078293,0,34.6548529916384,104.859570099468,36.4633333333333,71,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17869.png"
"51","Cameron Artis-Payne","RB","Panthers",-73.5401305408102,0,31.3194395586575,104.859570099468,35.2,69,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17704.png"
"52","Carlos Hyde","RB","Browns",-9.21058762510086,97,95.6489824743668,104.859570099468,113.54,82,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16777.png"
"53","Charcandrick West","RB","Chiefs",-48.210003232653,0,56.6495668668147,104.859570099468,52.17,79,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17384.png"
"54","Charles Sims","RB","Buccaneers",-49.614863162183,0,55.2447069372847,104.859570099468,55.4,77,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16749.png"
"55","Chase Edmonds","RB","Cardinals",-65.1263400772215,0,39.7332300222462,104.859570099468,45.5,71,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18693.png"
"56","Chris Carson","RB","Seahawks",-44.1607269677686,127,60.6988431316991,104.859570099468,71.1466666666667,75,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18341.png"
"57","Chris Ivory","RB","Bills",-37.5201353464089,210,67.3394347530588,104.859570099468,68.4275,80,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/13587.png"
"58","Chris Thompson","RB","Redskins",-3.18268473968857,77,101.676885359779,104.859570099468,119.5125,84,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/15966.png"
"59","Christian McCaffrey","RB","Panthers",42.260540911219,16,147.120111010687,104.859570099468,194.45,87,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18279.png"
"60","Christine Michael","RB","Colts",-12.581716060789,0,92.2778540386787,104.859570099468,139,71,NA
"61","Corey Clement","RB","Eagles",-34.6663391104492,136,70.1932309890185,104.859570099468,82,77,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18425.png"
"62","Corey Grant","RB","Jaguars",-60.6250445843304,0,44.2345255151373,104.859570099468,38.79,76,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17752.png"
"63","D'Onta Foreman","RB","Texans",-42.6808605516195,137,62.1787095478482,104.859570099468,73.78,75,NA
"64","Dalvin Cook","RB","Vikings",52.3302530071199,14,157.189823106588,104.859570099468,216.14,85,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18260.png"
"65","Damien Williams","RB","Chiefs",-60.9462206546753,0,43.9133494447924,104.859570099468,29.5066666666667,79,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17138.png"
"66","Darren Sproles","RB","Eagles",-28.7499563915019,206,76.1096137079658,104.859570099468,76.3225,83,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/8544.png"
"67","David Johnson","RB","Cardinals",86.3925887247209,4,191.252158824189,104.859570099468,268.5275,93,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17442.png"
"68","DeAndre Washington","RB","Raiders",-63.6546316284605,0,41.2049384710073,104.859570099468,39.55,74,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17915.png"
"69","Derrick Henry","RB","Titans",9.80387804574363,38,114.663448145211,104.859570099468,138.48,86,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17832.png"
"70","Derrius Guice","RB","Redskins",8.4632374069684,41,113.322807506436,104.859570099468,155.846666666667,78,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18618.png"
"71","Devonta Freeman","RB","Falcons",48.0671951604995,15,152.926765259967,104.859570099468,200.5175,91,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16944.png"
"72","Devontae Booker","RB","Broncos",-9.73543573076836,114,95.1241343686993,104.859570099468,129.345,76,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17908.png"
"73","Dion Lewis","RB","Titans",-7.41941764078828,69,97.4401524586794,104.859570099468,106.0475,87,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/14198.png"
"74","Doug Martin","RB","Raiders",-32.8143271403389,164,72.0452429591288,104.859570099468,88.2775,76,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/14885.png"
"75","Duke Johnson","RB","Browns",-3.46625134673208,110,101.393318752736,104.859570099468,121.313333333333,83,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17658.png"
"76","Elijah McGuire","RB","Jets",-55.710423824418,0,49.1491462750497,104.859570099468,59.6,72,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18313.png"
"77","Ezekiel Elliott","RB","Cowboys",73.9961692256774,3,178.855739325145,104.859570099468,246.3975,92,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17797.png"
"78","Fozzy Whittaker","RB","Panthers",-70.0337766625315,0,34.8257934369363,104.859570099468,39.2,70,NA
"79","Frank Gore","RB","Dolphins",-25.1166802155786,208,79.7428898838891,104.859570099468,101.975,76,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/8479.png"
"80","Giovani Bernard","RB","Bengals",-13.0917016698463,161,91.7678684296214,104.859570099468,101.88,84,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/15826.png"
"81","Isaiah Crowell","RB","Jets",-5.92001051825098,99,98.9395595812167,104.859570099468,127.4225,79,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17133.png"
"82","Ito Smith","RB","Falcons",-77.6358623912749,0,27.2237077081928,104.859570099468,20.585,72,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18685.png"
"83","Jacquizz Rodgers","RB","Buccaneers",-73.1747207836052,0,31.6848493158625,104.859570099468,28.5233333333333,72,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/14193.png"
"84","Jalen Richard","RB","Raiders",-65.4467865528972,0,39.4127835465706,104.859570099468,30.21,76,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18079.png"
"85","Jamaal Williams","RB","Packers",-27.6368008198559,84,77.2227692796118,104.859570099468,100.55,75,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18362.png"
"86","James Conner","RB","Steelers",-70.0175308010175,187,34.8420392984502,104.859570099468,31.2633333333333,73,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18236.png"
"87","James White","RB","Patriots",-20.3821547700615,103,84.4774153294062,104.859570099468,91.2125,83,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16913.png"
"88","Javorius Allen","RB","Ravens",-46.5387589140881,0,58.3208111853796,104.859570099468,70.0066666666667,74,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17616.png"
"89","Jay Ajayi","RB","Eagles",18.1449858742345,40,123.004555973702,104.859570099468,153.3225,86,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17556.png"
"90","Jaylen Samuels","RB","Steelers",-82.7752718573865,0,22.0842982420812,104.859570099468,20.9,68,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18724.png"
"91","Jeremy Hill","RB","Patriots",-26.7604558866809,0,78.0991142127868,104.859570099468,99.05,76,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16803.png"
"92","Jerick McKinnon","RB","49ers",36.354720395065,17,141.214290494533,104.859570099468,187.7125,85,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16782.png"
"93","Joe Mixon","RB","Bengals",16.5251146726408,30,121.384684772109,104.859570099468,161.913333333333,81,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18193.png"
"94","Joe Williams","RB","49ers",-74.3399134542206,0,30.5196566452471,104.859570099468,29.105,71,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18354.png"
"95","John Kelly","RB","Rams",-66.4539985343531,0,38.4055715651146,104.859570099468,45.57,70,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18735.png"
"96","Jonathan Stewart","RB","Giants",-23.9221263648941,0,80.9374437345736,104.859570099468,84.9133333333333,83,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/11247.png"
"97","Jordan Howard","RB","Bears",28.8116164821178,26,133.671186581585,104.859570099468,174.29,85,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17919.png"
"98","Jordan Wilkins","RB","Colts",-68.8255312974477,166,36.03403880202,104.859570099468,41.35,70,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18728.png"
"99","Justin Jackson","RB","Chargers",-75.7167511958277,0,29.1428189036401,104.859570099468,26.655,71,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18809.png"
"100","Kalen Ballage","RB","Dolphins",-76.2393875630499,0,28.6201825364178,104.859570099468,25.725,71,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18690.png"
"101","Kareem Hunt","RB","Chiefs",59.4140896022347,8,164.273659701702,104.859570099468,222.203333333333,89,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18225.png"
"102","Kenneth Dixon","RB","Ravens",-40.8286287836749,201,64.0309413157928,104.859570099468,80.1675,74,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17906.png"
"103","Kenyan Drake","RB","Dolphins",0.084472067217817,34,104.944042166686,104.859570099468,130.08,82,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17856.png"
"104","Kerryon Johnson","RB","Lions",-22.463241129675,82,82.3963289697927,104.859570099468,115.883333333333,73,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18602.png"
"105","Kyle Juszczyk","RB","49ers",-38.268163230661,0,66.5914068688067,104.859570099468,57.08,84,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16002.png"
"106","Lamar Miller","RB","Texans",24.5743280854985,43,129.433898184966,104.859570099468,166.75,85,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/14886.png"
"107","Latavius Murray","RB","Vikings",-13.949438341877,182,90.9101317575907,104.859570099468,105.1075,82,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/15920.png"
"108","Le'Veon Bell","RB","Steelers",87.5487085708356,2,192.408278670303,104.859570099468,273.1125,96,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/15825.png"
"109","LeGarrette Blount","RB","Lions",-13.667170127448,192,91.1923999720197,104.859570099468,94.93,87,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/13213.png"
"110","Leonard Fournette","RB","Jaguars",55.7348182926878,9,160.594388392155,104.859570099468,218.426666666667,87,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18218.png"
"111","LeSean McCoy","RB","Bills",48.2271680995694,24,153.086738199037,104.859570099468,201.385,90,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/12514.png"
"112","Mark Ingram","RB","Saints",15.1187527156411,59,119.978322815109,104.859570099468,147.9375,86,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/13981.png"
"113","Mark Walton","RB","Bengals",-72.9377548321586,0,31.9218152673091,104.859570099468,28.945,72,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18671.png"
"114","Marlon Mack","RB","Colts",-2.05308049632835,83,102.806489603139,104.859570099468,140.033333333333,77,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18211.png"
"115","Marshawn Lynch","RB","Raiders",3.35042112984139,78,108.209991229309,104.859570099468,128.983333333333,85,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/10456.png"
"116","Matt Breida","RB","49ers",-28.9765090136485,113,75.8830610858192,104.859570099468,95.1066666666667,76,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18424.png"
"117","Melvin Gordon","RB","Chargers",53.2557847375637,10,158.115354837031,104.859570099468,211.245,89,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17586.png"
"118","Mike Gillislee","RB","Patriots",-29.3837779793854,0,75.4757921200823,104.859570099468,91.4,77,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/15952.png"
"119","Nick Chubb","RB","Browns",-40.6749466957384,106,64.1846234037293,104.859570099468,74.29,76,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18592.png"
"120","Nyheim Hines","RB","Colts",-41.0950984010131,138,63.7644716984546,104.859570099468,79.6933333333333,74,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18663.png"
"121","Peyton Barber","RB","Buccaneers",-58.4627263951376,190,46.3968437043301,104.859570099468,57.3575,71,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18106.png"
"122","Rashaad Penny","RB","Seahawks",-2.50563265086026,50,102.353937448607,104.859570099468,142.21,76,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18585.png"
"123","Rex Burkhead","RB","Patriots",-24.6801505688869,71,80.1794195305808,104.859570099468,96.87,78,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/15971.png"
"124","Robert Turbin","RB","Colts",-72.6680390536977,0,32.19153104577,104.859570099468,32.08,71,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/14894.png"
